Paket_id,Vikt,Förtjänst,Deadline,Penalty,Score,Loaded
2241353195,0.5,9,-5,-25,82.16666666666667,1
2241342509,1.0,9,-5,-25,80.5,1
2241340215,0.6,8,-5,-25,79.75,1
2241326447,0.6,8,-5,-25,79.75,1
2241340927,1.4,9,-5,-25,79.66666666666667,1
2241328262,0.7,8,-5,-25,79.38235294117646,1
2241348462,2.6,9,-5,-25,78.27777777777777,1
2241331133,0.5,7,-5,-25,78.16666666666667,1
2241335731,2.8,9,-5,-25,78.13157894736842,1
2241342810,3.0,9,-5,-25,78.0,1
2241332240,3.2,9,-5,-25,77.88095238095238,1
2241347140,3.8,9,-5,-25,77.58333333333333,1
2241327628,1.5,8,-5,-25,77.5,1
2241339582,4.1,9,-5,-25,77.4607843137255,1
2241334936,4.3,9,-5,-25,77.38679245283019,1
2241337942,6.0,9,-5,-25,76.92857142857143,1
2241351623,7.4,9,-5,-25,76.69047619047619,1
2241355781,8.0,9,-5,-25,76.61111111111111,1
2241341364,8.5,9,-5,-25,76.55263157894737,1
2241325276,8.6,9,-5,-25,76.54166666666667,1
2241352908,8.7,9,-5,-25,76.53092783505154,1
2241351819,8.9,9,-5,-25,76.51010101010101,1
2241336603,8.9,9,-5,-25,76.51010101010101,1
2241348620,1.0,7,-5,-25,76.5,1
2241355594,9.5,9,-5,-25,76.45238095238095,1
2241324277,9.6,9,-5,-25,76.44339622641509,1
2241347655,10.0,9,-5,-25,76.4090909090909,1
2241339519,10.1,9,-5,-25,76.40090090090091,1
2241355988,10.5,9,-5,-25,76.3695652173913,1
2241345989,11.4,9,-5,-25,76.30645161290323,1
2241345007,11.9,9,-5,-25,76.2751937984496,1
2241349840,1.3,7,-5,-25,75.84782608695652,1
2241344112,3.7,8,-5,-25,75.62765957446808,1
2241344442,3.9,8,-5,-25,75.54081632653062,1
2241345222,4.4,8,-5,-25,75.35185185185185,1
2241330679,1.8,7,-5,-25,75.07142857142857,1
2241330130,5.4,8,-5,-25,75.0625,1
2241325224,6.1,8,-5,-25,74.90845070422536,1
2241340294,2.1,7,-5,-25,74.7258064516129,1
2241345217,8.4,8,-5,-25,74.56382978723404,1
2241355866,8.4,8,-5,-25,74.56382978723404,1
2241340426,8.7,8,-5,-25,74.53092783505154,1
2241336900,8.8,8,-5,-25,74.5204081632653,1
2241341351,9.4,8,-5,-25,74.46153846153847,1
2241333342,10.2,8,-5,-25,74.39285714285714,1
2241338121,10.5,8,-5,-25,74.3695652173913,1
2241349405,11.0,8,-5,-25,74.33333333333333,1
2241357362,11.5,8,-5,-25,74.3,1
2241356994,11.6,8,-5,-25,74.2936507936508,1
2241348221,11.8,8,-5,-25,74.28125,1
2241356899,11.8,8,-5,-25,74.28125,1
2241337745,2.6,7,-5,-25,74.27777777777777,1
2241323256,0.5,5,-5,-25,74.16666666666667,1
2241354919,2.9,7,-5,-25,74.06410256410257,1
2241357548,3.1,7,-5,-25,73.9390243902439,1
2241348959,0.2,4,-5,-25,73.83333333333333,1
2241337432,3.4,7,-5,-25,73.77272727272727,1
2241353266,4.3,7,-5,-25,73.38679245283019,1
2241347308,0.7,5,-5,-25,73.38235294117646,1
2241347730,0.8,5,-5,-25,73.05555555555556,1
2241348647,6.2,7,-5,-25,72.88888888888889,1
2241350363,7.8,7,-5,-25,72.63636363636364,1
2241330430,2.2,6,-5,-25,72.625,1
2241345360,7.9,7,-5,-25,72.62359550561797,1
2241333942,7.9,7,-5,-25,72.62359550561797,1
2241350641,8.2,7,-5,-25,72.58695652173913,1
2241346154,8.3,7,-5,-25,72.5752688172043,1
2241339291,8.4,7,-5,-25,72.56382978723404,1
2241343048,8.6,7,-5,-25,72.54166666666667,1
2241342895,1.0,5,-5,-25,72.5,1
2241340867,9.2,7,-5,-25,72.48039215686275,1
2241333443,2.4,6,-5,-25,72.44117647058823,1
2241348097,10.3,7,-5,-25,72.38495575221239,1
2241342916,2.5,6,-5,-25,72.35714285714286,1
2241350089,11.3,7,-5,-25,72.3130081300813,1
2241329726,11.6,7,-5,-25,72.2936507936508,1
2241344267,1.1,5,-5,-25,72.26190476190476,1
2241352967,2.8,6,-5,-25,72.13157894736842,1
2241336084,3.3,6,-5,-25,71.82558139534883,1
2241349018,3.4,6,-5,-25,71.77272727272727,1
2241331948,3.7,6,-5,-25,71.62765957446808,1
2241335548,4.0,6,-5,-25,71.5,1
2241357204,4.0,6,-5,-25,71.5,1
2241356730,0.8,4,-5,-25,71.05555555555556,1
2241325926,5.6,6,-5,-25,71.01515151515152,1
2241325615,5.8,6,-5,-25,70.97058823529412,1
2241329756,6.0,6,-5,-25,70.92857142857143,1
2241338556,6.2,6,-5,-25,70.88888888888889,1
2241336610,6.5,6,-5,-25,70.83333333333334,1
2241349540,8.1,6,-5,-25,70.59890109890111,1
2241351635,8.3,6,-5,-25,70.5752688172043,1
2241345528,2.3,5,-5,-25,70.53030303030303,1
2241331406,8.9,6,-5,-25,70.51010101010101,1
2241330496,1.0,4,-5,-25,70.5,1
2241357166,9.2,6,-5,-25,70.48039215686275,1
2241349055,9.2,6,-5,-25,70.48039215686275,1
2241347605,11.0,6,-5,-25,70.33333333333334,1
2241323904,1.1,4,-5,-25,70.26190476190476,1
2241348718,0.5,3,-5,-25,70.16666666666666,1
2241353935,2.8,5,-5,-25,70.13157894736842,1
2241356877,3.0,5,-5,-25,70.0,1
2241345390,3.3,5,-5,-25,69.82558139534883,1
2241347869,0.6,3,-5,-25,69.75,1
